Year,South_America_Temperature
191001,-0.43
191002,-0.53
191003,-0.89
191004,-0.41
191005,-0.45
191006,0.10
191007,-0.26
191008,-0.11
191009,-0.29
191010,-0.31
191011,-0.21
191012,-0.32
191101,-0.47
191102,-0.49
191103,-0.66
191104,-0.43
191105,-0.33
191106,-0.78
191107,-0.36
191108,-0.52
191109,-0.71
191110,-0.50
191111,-0.11
191112,-0.15
191201,-0.19
191202,-0.09
191203,-0.05
191204,-0.26
191205,-0.19
191206,-0.11
191207,-0.57
191208,-0.29
191209,-0.38
191210,-0.01
191211,-0.32
191212,-0.13
191301,-0.36
191302,-0.19
191303,-0.40
191304,-0.11
191305,-0.27
191306,-0.15
191307,0.52
191308,-0.03
191309,-0.15
191310,-0.01
191311,-0.12
191312,-0.43
191401,-0.20
191402,-0.38
191403,-0.56
191404,-0.56
191405,-0.22
191406,0.14
191407,0.46
191408,-0.25
191409,-0.37
191410,-0.35
191411,-0.50
191412,-0.41
191501,-0.38
191502,-0.09
191503,-0.33
191504,0.19
191505,0.31
191506,-0.72
191507,0.01
191508,0.20
191509,-0.37
191510,-0.21
191511,-0.41
191512,-0.36
191601,-0.39
191602,-0.62
191603,-0.77
191604,-0.16
191605,-0.47
191606,-1.42
191607,-1.17
191608,-0.79
191609,-0.27
191610,-0.46
191611,-0.36
191612,-0.75
191701,-0.67
191702,-1.00
191703,-1.04
191704,-0.89
191705,-1.53
191706,-0.84
191707,-0.91
191708,-0.91
191709,-0.62
191710,-0.75
191711,-0.85
191712,-0.61
191801,-0.86
191802,-1.01
191803,-0.73
191804,-0.53
191805,-0.86
191806,-0.69
191807,-0.47
191808,-0.41
191809,-0.50
191810,-0.60
191811,-0.29
191812,-0.32
191901,-0.03
191902,-0.11
191903,-0.15
191904,0.11
191905,0.44
191906,-0.26
191907,-0.34
191908,-0.83
191909,-0.66
191910,-0.47
191911,-0.46
191912,-0.31
192001,-0.32
192002,-0.34
192003,-0.22
192004,-0.13
192005,-0.33
192006,-0.78
192007,-0.73
192008,-0.69
192009,-0.39
192010,-0.46
192011,-0.23
192012,-0.45
192101,-0.60
192102,-0.55
192103,-0.75
192104,-0.44
192105,-0.06
192106,-1.13
192107,-0.98
192108,-0.41
192109,-0.52
192110,-0.61
192111,-0.46
192112,-0.35
192201,-0.49
192202,-0.52
192203,-0.49
192204,-0.56
192205,-0.60
192206,-0.88
192207,-0.16
192208,-0.65
192209,-0.30
192210,-0.79
192211,-0.52
192212,-0.71
192301,-0.69
192302,-0.53
192303,-0.28
192304,-0.42
192305,-1.04
192306,-0.31
192307,-0.97
192308,-0.60
192309,-0.35
192310,-0.78
192311,-0.37
192312,-0.63
192401,-0.64
192402,-0.38
192403,-0.26
192404,-0.51
192405,-0.85
192406,-0.68
192407,-0.66
192408,-1.06
192409,-0.87
192410,-0.79
192411,-0.82
192412,-0.47
192501,-0.51
192502,-0.44
192503,-0.39
192504,-0.34
192505,-0.65
192506,-0.85
192507,-0.81
