Year,Africa_Temperature
191001,-0.62
191002,-0.32
191003,-0.92
191004,-0.30
191005,-0.36
191006,-0.17
191007,0.07
191008,0.01
191009,-0.37
191010,-0.38
191011,-0.42
191012,-0.39
191101,-0.61
191102,-0.91
191103,-0.79
191104,-0.88
191105,-1.00
191106,-0.84
191107,-0.53
191108,-0.55
191109,-0.41
191110,0.04
191111,-0.39
191112,0.12
191201,-0.32
191202,-0.19
191203,-0.23
191204,-0.16
191205,0.27
191206,-0.05
191207,-0.15
191208,-0.07
191209,-0.43
191210,-0.36
191211,-0.25
191212,-0.60
191301,0.03
191302,-0.30
191303,-1.02
191304,-0.32
191305,-0.13
191306,0.07
191307,0.40
191308,0.36
191309,0.26
191310,0.05
191311,-0.33
191312,-0.14
191401,0.72
191402,-0.46
191403,0.02
191404,-0.12
191405,0.39
191406,0.10
191407,-0.22
191408,-0.66
191409,-0.13
191410,0.01
191411,0.11
191412,-0.31
191501,0.25
191502,-0.06
191503,0.18
191504,-0.02
191505,-0.09
191506,-0.41
191507,-0.02
191508,0.02
191509,-0.33
191510,0.01
191511,0.26
191512,-0.36
191601,-0.66
191602,-0.27
191603,-0.01
191604,-0.37
191605,-0.52
191606,-0.34
191607,-0.33
191608,-0.86
191609,-0.55
191610,-0.52
191611,-0.62
191612,-0.18
191701,0.09
191702,-0.21
191703,-0.74
191704,-0.63
191705,-0.94
191706,-0.66
191707,-0.32
191708,-0.24
191709,-0.59
191710,-0.61
191711,-0.56
191712,-0.61
191801,-1.27
191802,-1.09
191803,-0.84
191804,-1.27
191805,-0.80
191806,-0.71
191807,-0.36
191808,-0.83
191809,-0.03
191810,0.05
191811,-0.21
191812,-0.62
191901,0.19
191902,0.33
191903,0.09
191904,0.25
191905,-0.72
191906,-0.24
191907,0.02
191908,-0.32
191909,-0.33
191910,0.08
191911,-0.25
191912,-0.61
192001,-0.38
192002,-0.92
192003,-0.74
192004,-0.06
192005,-0.29
192006,-0.49
192007,-0.21
192008,-0.43
192009,-0.23
192010,-0.31
192011,-0.14
192012,-0.77
192101,-0.76
192102,-0.62
192103,-0.69
192104,-0.52
192105,-0.67
192106,-0.30
192107,-0.37
192108,-0.75
192109,-0.30
192110,-0.36
192111,-0.31
192112,-0.07
192201,-0.06
192202,-0.24
192203,-0.09
192204,0.20
192205,-0.56
192206,0.05
192207,-0.22
192208,-0.25
192209,-0.48
192210,-0.35
192211,0.11
192212,-0.39
192301,-0.12
192302,-0.72
192303,-0.41
192304,-0.84
192305,-0.51
192306,-0.38
192307,-0.61
192308,-0.56
192309,-0.44
192310,-0.08
192311,0.07
192312,-0.19
192401,0.21
192402,-0.15
192403,0.49
192404,-0.23
192405,0.21
192406,0.31
192407,-0.21
192408,-0.28
192409,-0.23
192410,-0.30
192411,-0.48
192412,-0.50
192501,-1.73
192502,-0.98
192503,-0.15
192504,0.04
192505,-0.11
192506,-0.21
192507,-0.13
192508,-0.18
192509,-0.11
192510,-0.46
192511,0.07
192512,0.44
192601,0.21
192602,0.39
192603,-0.09
192604,0.06
192605,0.11
192606,0.06
192607,-0.36
192608,-0.14
192609,0.07
192610,0.30
192611,-0.03
192612,-0.17
192701,-0.13
192702,-0.47
192703,-0.52
192704,-0.48
192705,-0.09
192706,-0.14
192707,-0.10
192708,-0.28
192709,0.11
192710,0.25
192711,0.33
192712,0.58
192801,0.35
192802,-0.55
192803,-0.01
192804,0.02
192805,-0.29
192806,0.09
192807,-0.11
192808,-0.34
192809,0.34
192810,0.20
192811,0.10
192812,-0.17
192901,-0.23
192902,0.00
192903,-0.29
192904,-0.16
192905,-0.03
192906,-0.48
192907,-0.46
192908,-0.55
192909,-0.16
192910,-0.10
192911,0.05
192912,-0.76
193001,-0.65
193002,0.05
193003,-0.38
193004,-0.34
193005,-0.35
193006,-0.57
193007,-0.08
193008,-0.18
193009,-0.31
193010,0.12
193011,0.21
193012,0.62
193101,0.46
193102,0.14
193103,0.57
193104,0.37
193105,0.27
193106,0.06
193107,0.41
193108,0.58
193109,0.18
193110,0.31
193111,0.07
193112,-0.01
193201,-0.18
193202,-0.22
193203,-0.11
193204,0.28
193205,-0.17
193206,-0.13
193207,-0.56
193208,-0.54
193209,-0.18
193210,0.31
193211,0.12
193212,-0.11
193301,0.33
193302,0.32
193303,0.08
193304,-0.05
193305,0.13
193306,-0.11
193307,-0.19
193308,-0.30
193309,-0.53
193310,0.05
193311,0.21
193312,-0.18
193401,-0.87
193402,-0.98
193403,-0.64
193404,0.04
193405,-0.04
193406,0.21
193407,0.22
193408,0.36
193409,-0.08
193410,0.08
193411,0.14
193412,-0.01
193501,-0.12
193502,-0.62
193503,-0.02
193504,-0.46
193505,-0.30
193506,-0.22
193507,-0.22
193508,-0.58
193509,-0.05
193510,-0.01
193511,-0.23
193512,0.28
193601,-0.06
193602,0.42
193603,0.27
193604,-0.10
193605,-0.34
193606,-0.29
193607,-0.11
193608,-0.21
193609,-0.71
193610,-0.14
193611,0.12
193612,-0.35
193701,-0.55
193702,0.08
193703,0.14
193704,-0.12
193705,-0.10
193706,0.14
193707,-0.25
193708,-0.03
193709,0.17
193710,0.12
193711,0.60
193712,0.08
193801,0.09
193802,-0.02
193803,-0.76
193804,0.28
193805,0.04
193806,-0.09
193807,-0.14
193808,-0.13
193809,-0.16
193810,0.00
193811,-0.26
193812,0.08
193901,0.11
193902,-0.23
193903,-0.47
193904,-0.62
193905,-0.16
193906,-0.31
193907,0.03
193908,-0.20
193909,-0.27
193910,0.24
193911,-0.30
193912,0.64
194001,0.45
194002,0.25
194003,-0.21
194004,0.01
194005,0.19
194006,0.00
194007,-0.08
194008,0.18
194009,0.25
194010,0.16
194011,-0.04
194012,0.26
194101,0.61
194102,0.56
194103,0.59
194104,0.65
194105,0.32
194106,0.21
194107,0.31
194108,0.49
194109,0.10
194110,0.42
194111,0.28
194112,0.17
194201,0.16
194202,0.74
194203,0.45
194204,0.41
194205,0.02
194206,0.43
194207,-0.08
194208,-0.16
194209,0.11
194210,-0.06
194211,0.41
194212,0.09
194301,-0.12
194302,-0.69
194303,-0.50
194304,-0.43
194305,-0.36
194306,-0.46
194307,-0.25
194308,-0.42
194309,-0.48
194310,0.16
194311,-0.02
194312,0.36
194401,-0.38
194402,-0.31
194403,-0.26
194404,-0.05
194405,-0.27
194406,0.23
194407,0.09
194408,0.16
194409,-0.13
194410,0.27
194411,0.10
194412,0.27
194501,0.22
194502,-0.56
194503,-0.43
194504,0.26
194505,-0.28
194506,-0.32
194507,-0.02
194508,-0.04
194509,0.00
194510,-0.25
194511,0.19
194512,0.00
194601,0.27
194602,-0.07
194603,0.04
194604,-0.05
194605,0.10
194606,-0.25
194607,-0.26
194608,-0.43
194609,-0.07
194610,0.01
194611,0.39
194612,-0.09
194701,0.13
194702,0.96
194703,0.31
194704,0.07
194705,-0.08
194706,0.08
194707,-0.06
194708,0.06
194709,-0.14
194710,0.09
194711,0.23
194712,0.19
194801,-0.14
194802,0.14
194803,-0.77
194804,-0.33
194805,0.14
194806,-0.27
194807,-0.07
194808,-0.10
194809,-0.32
194810,-0.31
194811,-0.64
194812,-0.33
194901,0.10
194902,-0.85
194903,-0.06
194904,-0.28
194905,0.14
194906,0.22
194907,0.10
194908,-0.01
194909,-0.04
194910,0.02
194911,0.41
194912,0.25
195001,-0.29
195002,-0.49
195003,-0.28
195004,-0.23
195005,-0.39
195006,0.03
195007,-0.23
195008,-0.60
195009,-0.27
195010,-0.61
195011,-0.29
195012,0.02
195101,-0.29
195102,-0.31
195103,0.34
195104,-0.19
195105,-0.05
195106,-0.12
195107,-0.08
195108,0.09
