Year,Asia_Temperature
191001,-0.34
191002,0.26
191003,-1.76
191004,-0.62
191005,0.04
191006,-0.51
191007,0.20
191008,-0.03
191009,-0.52
191010,-0.86
191011,-1.30
191012,-1.89
191101,-0.90
191102,-0.96
191103,-1.95
191104,-0.34
191105,-0.58
191106,-0.14
191107,-0.26
191108,-0.32
191109,-0.52
191110,-0.66
191111,0.51
191112,-1.08
191201,0.05
191202,-0.14
191203,-1.86
191204,-0.36
191205,-0.44
191206,0.18
191207,-0.63
191208,-1.22
191209,-1.21
191210,-2.36
191211,-1.38
191212,-1.37
191301,-0.47
191302,-1.30
191303,-0.49
191304,-1.01
191305,-0.75
191306,-0.71
191307,-0.43
191308,-0.31
191309,-0.36
191310,-0.42
191311,0.01
191312,1.02
191401,1.85
191402,1.56
191403,-0.44
191404,-0.59
191405,0.08
191406,0.10
191407,-0.47
191408,-0.08
191409,-0.12
191410,-0.51
191411,-0.82
191412,0.03
191501,-1.13
191502,-0.53
191503,-0.55
191504,-0.68
191505,0.36
191506,0.22
191507,0.24
191508,-0.22
191509,-0.14
191510,-1.21
191511,0.30
191512,-0.03
191601,0.60
191602,-0.30
191603,-1.22
191604,-0.82
191605,-0.58
191606,-0.69
191607,-0.28
191608,-0.05
191609,-0.48
191610,-0.20
191611,-0.78
191612,-1.99
191701,-0.29
191702,-0.46
191703,-1.18
191704,-0.20
191705,-0.28
191706,-0.31
191707,-0.29
191708,-0.29
191709,-0.19
191710,-0.55
191711,-0.05
191712,-0.93
191801,0.34
191802,0.01
191803,-0.31
191804,-0.93
191805,-0.97
191806,-0.40
191807,-0.16
191808,-0.25
191809,-0.07
191810,0.09
191811,-0.69
191812,-2.48
191901,-2.80
191902,-0.43
191903,-0.90
191904,-0.23
191905,-0.74
191906,-0.51
191907,0.06
191908,0.12
191909,-0.20
191910,0.43
191911,-0.60
191912,-0.49
192001,0.76
192002,-2.09
192003,0.77
192004,0.25
192005,0.12
192006,-0.18
192007,-0.05
192008,0.01
192009,-0.60
192010,-0.74
192011,-0.84
192012,-2.33
192101,0.72
192102,-0.06
192103,-0.17
192104,0.05
192105,-0.40
192106,0.18
192107,0.23
192108,-0.24
192109,-0.27
192110,-0.25
192111,-0.25
192112,-0.38
192201,-1.66
192202,-0.94
192203,0.33
192204,0.00
192205,-0.20
192206,0.12
192207,0.35
192208,-0.29
192209,-0.56
192210,-0.34
192211,-0.14
192212,0.62
192301,-0.38
192302,-1.09
192303,0.12
192304,-1.37
192305,-0.63
192306,0.04
192307,-0.30
192308,0.11
192309,-0.20
192310,0.14
192311,-0.04
192312,0.28
192401,-0.48
192402,-0.84
192403,-0.57
192404,-0.28
192405,-0.41
192406,-0.34
192407,0.18
192408,0.05
192409,0.05
192410,-0.47
192411,0.85
192412,0.55
192501,0.87
192502,-0.81
192503,-0.16
192504,-0.40
192505,-0.41
192506,-0.49
192507,-0.37
192508,-0.04
192509,0.20
192510,0.59
192511,0.86
192512,0.88
192601,0.85
192602,-0.12
192603,1.03
192604,-1.17
192605,-0.66
192606,-0.20
192607,-0.51
192608,0.12
192609,0.03
192610,-0.28
192611,0.04
192612,-0.65
192701,-1.72
192702,-0.69
192703,-1.85
192704,-0.44
192705,0.02
192706,0.02
192707,0.18
192708,-0.18
192709,0.45
192710,0.57
192711,0.35
192712,-0.72
192801,-0.54
192802,-0.42
192803,-1.46
192804,-0.46
192805,-0.17
192806,-0.36
192807,-0.32
192808,-0.08
192809,-0.23
192810,-0.13
192811,-0.33
192812,-0.60
192901,-2.00
192902,-2.29
192903,0.06
192904,-0.22
192905,-0.20
192906,-0.37
192907,-0.44
192908,-0.30
192909,-0.30
192910,-0.05
192911,0.40
192912,-3.07
193001,-0.88
193002,-1.00
193003,0.68
193004,-1.11
193005,-0.27
193006,-0.40
193007,-0.03
193008,0.11
193009,-0.68
193010,-0.04
193011,0.66
193012,-1.10
193101,-1.52
193102,-3.54
193103,-0.06
193104,-0.84
193105,-0.84
193106,0.05
193107,0.03
193108,0.43
193109,0.47
193110,0.66
193111,-0.17
193112,-0.15
193201,2.12
193202,-0.45
193203,-0.36
193204,0.55
193205,-0.53
193206,-0.27
193207,0.17
193208,-0.26
193209,0.45
193210,0.69
193211,-0.05
193212,-0.25
193301,-2.12
193302,-1.52
193303,-1.47
193304,-0.50
193305,-0.64
193306,-0.63
193307,0.11
193308,-0.10
193309,-0.51
193310,-0.23
193311,0.12
193312,-0.19
193401,-0.89
193402,1.74
193403,-0.99
193404,-1.60
193405,0.11
193406,-0.31
193407,-0.52
193408,-0.14
193409,-0.82
193410,-0.22
193411,0.29
193412,0.31
193501,-0.78
193502,2.25
193503,0.43
193504,-1.03
193505,-0.31
193506,-0.29
193507,-0.19
193508,0.23
193509,0.02
193510,0.56
193511,-1.48
193512,-1.36
193601,-1.22
193602,-0.50
193603,-1.50
193604,-0.66
193605,-0.34
193606,-0.21
193607,-0.04
193608,-0.25
193609,0.21
193610,0.76
193611,0.48
193612,0.98
193701,-0.43
193702,0.45
193703,-1.68
193704,-0.92
193705,-0.26
193706,0.01
193707,-0.08
193708,-0.06
193709,0.39
193710,0.50
193711,-0.33
193712,-0.77
193801,-0.11
193802,0.53
193803,0.47
193804,1.53
193805,0.41
193806,-0.51
193807,0.06
193808,0.34
193809,0.11
193810,0.03
193811,0.89
193812,-1.72
193901,-0.57
193902,1.35
193903,-0.05
193904,-0.22
193905,0.07
193906,0.37
193907,0.06
193908,0.14
193909,-0.09
193910,-0.36
193911,0.22
193912,1.96
194001,-1.61
194002,0.07
194003,0.08
194004,0.46
194005,-0.48
194006,0.05
194007,0.16
194008,0.00
194009,0.02
194010,-0.44
194011,0.50
194012,0.54
194101,-0.28
194102,-0.21
194103,-0.23
194104,-0.60
194105,-0.08
194106,0.24
194107,-0.17
194108,0.10
194109,-0.09
194110,0.40
194111,-0.63
194112,-0.84
194201,0.01
194202,-1.44
194203,-0.46
194204,-0.58
194205,-0.40
194206,0.24
194207,0.01
194208,-0.32
194209,-0.04
194210,0.07
194211,0.73
194212,0.90
194301,-0.70
194302,0.35
194303,0.35
194304,0.47
194305,1.03
194306,-0.35
194307,0.11
194308,0.13
194309,0.21
194310,0.25
194311,-0.27
194312,0.85
194401,1.14
194402,1.05
194403,1.75
194404,0.13
194405,0.29
194406,0.10
194407,0.24
194408,-0.17
194409,0.53
194410,0.14
194411,-1.00
194412,-1.57
194501,-1.30
194502,-2.37
194503,-1.15
194504,0.68
194505,0.09
194506,0.12
194507,-0.36
194508,0.41
194509,0.35
194510,0.50
194511,0.27
194512,-1.13
194601,0.65
194602,1.53
194603,-1.20
194604,0.79
194605,-0.26
194606,-0.22
194607,0.03
194608,0.15
194609,-0.35
194610,0.18
194611,0.12
194612,-1.72
194701,-1.22
194702,-0.91
194703,0.57
194704,1.02
194705,0.02
194706,-0.23
194707,-0.37
194708,-0.19
194709,0.15
194710,0.51
194711,0.26
194712,-1.05
194801,1.46
194802,0.46
194803,0.41
194804,0.65
194805,0.33
194806,0.26
194807,0.18
194808,0.09
194809,-0.01
194810,0.30
194811,0.35
194812,0.01
194901,1.81
194902,0.70
194903,-0.72
194904,0.16
194905,0.37
194906,-0.31
194907,-0.36
194908,0.07
194909,-0.43
194910,0.24
194911,-1.00
194912,-1.33
195001,-0.88
195002,-0.67
195003,0.22
195004,-0.26
195005,0.10
195006,-0.23
195007,-0.36
195008,-0.28
195009,-0.12
195010,-0.17
195011,-1.66
195012,-0.74
195101,-1.17
195102,-2.58
195103,-0.40
195104,0.19
195105,0.33
195106,-0.24
195107,-0.03
195108,0.16
195109,0.57
195110,0.77
195111,0.21
195112,2.71
195201,0.79
195202,-0.24
