Year,Europe_Temperature
191001,0.81
191002,2.12
191003,0.23
191004,-0.11
191005,-0.31
191006,0.18
191007,-0.98
191008,-0.85
191009,-0.74
191010,-0.52
191011,-0.76
191012,0.86
191101,-0.35
191102,-1.57
191103,-0.60
191104,-0.97
191105,0.22
191106,-0.89
191107,-0.12
191108,0.87
191109,0.30
191110,-0.48
191111,0.54
191112,0.97
191201,-1.48
191202,0.32
191203,1.52
191204,-1.23
191205,-0.93
191206,-0.04
191207,-0.63
191208,-1.40
191209,-2.31
191210,-2.05
191211,-1.25
191212,0.76
191301,-0.22
191302,-0.23
191303,1.01
191304,0.14
191305,-0.65
191306,-0.79
191307,-1.31
191308,-0.82
191309,-0.25
191310,-0.24
191311,1.13
191312,0.24
191401,-1.24
191402,1.47
191403,0.85
191404,0.57
191405,-0.55
191406,-0.52
191407,0.22
191408,-0.49
191409,-0.89
191410,-1.07
191411,-1.43
191412,0.97
191501,0.79
191502,0.25
191503,-1.48
191504,-0.55
191505,-0.50
191506,-0.10
191507,-0.28
191508,-0.97
191509,-1.37
191510,-1.37
191511,-1.52
191512,-0.12
191601,1.48
191602,0.65
191603,0.03
191604,0.01
191605,-0.18
191606,-0.65
191607,-0.32
191608,-0.89
191609,-1.27
191610,-0.59
191611,0.58
191612,0.78
191701,-0.84
191702,-2.63
191703,-2.28
191704,-1.51
191705,-0.51
191706,0.85
191707,-0.41
191708,0.27
191709,0.13
191710,-0.37
191711,0.30
191712,-1.90
191801,-0.22
191802,0.37
191803,-0.25
191804,0.45
191805,-0.34
191806,-1.34
191807,-0.51
191808,-0.58
191809,0.27
191810,0.41
191811,-0.15
191812,0.56
191901,0.99
191902,-0.42
191903,-0.49
191904,-0.71
191905,-1.34
191906,-0.29
191907,-1.08
191908,-0.82
191909,0.47
191910,-1.07
191911,-2.21
191912,-0.84
192001,0.66
192002,0.52
192003,1.62
192004,1.54
192005,1.18
192006,-0.35
192007,0.26
192008,-0.50
192009,-0.17
192010,-1.65
192011,-1.74
192012,-0.64
192101,1.79
192102,-0.45
192103,1.12
192104,0.48
192105,1.14
192106,-0.55
192107,-0.01
192108,0.02
192109,-0.58
192110,0.32
192111,-2.02
192112,-0.66
192201,-1.06
192202,-0.74
192203,0.23
192204,-0.87
192205,0.39
192206,0.07
192207,-0.30
192208,-0.54
192209,-1.18
192210,-1.39
192211,-1.07
192212,-0.32
192301,1.14
192302,-0.52
192303,0.55
192304,-1.16
192305,-0.04
192306,-2.14
192307,-0.03
192308,-0.87
192309,-0.19
192310,0.97
192311,0.56
192312,-0.37
192401,-1.34
192402,-1.69
192403,-1.14
192404,-0.99
192405,0.59
192406,0.04
192407,-0.40
192408,-0.73
192409,0.69
192410,0.37
192411,-0.33
192412,0.10
192501,1.67
192502,2.32
192503,-0.73
192504,0.08
192505,0.28
192506,-0.86
192507,0.05
192508,-0.27
192509,-0.97
192510,-0.64
192511,-0.80
192512,-1.15
192601,-0.09
192602,1.15
192603,-0.07
192604,0.48
192605,-0.72
192606,-0.68
192607,-0.31
192608,-0.86
192609,0.02
192610,-0.42
192611,1.95
192612,-0.46
192701,0.38
192702,-0.50
192703,1.22
192704,-0.24
192705,-0.79
192706,-0.05
192707,0.55
192708,0.44
192709,0.25
192710,-0.04
192711,-0.61
192712,-2.28
192801,0.31
192802,-0.09
192803,-1.20
