Year,Global_Land_Temperature
188001,-0.29
188002,-0.69
188003,-0.76
188004,-0.43
188005,-0.25
188006,-0.18
188007,-0.32
188008,-0.26
188009,-0.47
188010,-0.74
188011,-0.93
188012,-0.62
188101,-0.59
188102,-0.50
188103,-0.23
188104,-0.15
188105,-0.09
188106,-0.56
188107,-0.32
188108,-0.11
188109,-0.45
188110,-0.86
188111,-0.97
188112,-0.26
188201,0.02
188202,-0.24
188203,-0.22
188204,-0.77
188205,-0.58
188206,-0.54
188207,-0.50
188208,-0.07
188209,-0.30
188210,-0.86
188211,-0.56
188212,-0.74
188301,-1.25
188302,-1.44
188303,-0.67
188304,-0.72
188305,-0.56
188306,-0.01
188307,-0.35
188308,-0.35
188309,-0.52
188310,-0.69
188311,-0.84
188312,-0.46
188401,-0.55
188402,-0.84
188403,-0.93
188404,-0.80
188405,-0.59
188406,-0.48
188407,-0.72
188408,-0.60
188409,-0.76
188410,-0.67
188411,-0.86
188412,-0.55
188501,-1.43
188502,-0.78
188503,-0.51
188504,-0.63
188505,-0.60
188506,-0.59
188507,-0.50
188508,-0.57
188509,-0.48
188510,-0.45
188511,-0.23
188512,0.24
188601,-0.52
188602,-0.99
188603,-0.75
188604,-0.37
188605,-0.43
188606,-0.47
188607,-0.19
188608,-0.36
188609,-0.38
188610,-0.78
188611,-0.69
188612,0.09
188701,-1.13
188702,-0.90
188703,-0.30
188704,-0.45
188705,-0.19
188706,-0.47
188707,-0.32
188708,-0.53
188709,-0.21
188710,-0.67
188711,-0.25
188712,-0.18
188801,-0.78
188802,-0.73
188803,-0.77
188804,-0.13
188805,-0.41
188806,-0.36
188807,-0.18
188808,-0.43
188809,-0.26
188810,-0.13
188811,-0.37
188812,-0.20
188901,-0.62
188902,-0.06
188903,0.17
188904,0.25
188905,-0.24
188906,-0.20
188907,-0.19
188908,-0.21
188909,-0.37
188910,-0.55
188911,-0.82
188912,-0.29
189001,-0.65
189002,-0.61
189003,-0.52
189004,-0.26
189005,-0.71
189006,-0.32
189007,-0.12
189008,-0.35
189009,-0.46
189010,-0.32
189011,-0.84
189012,-0.52
189101,-0.80
189102,-1.31
189103,-0.33
189104,-0.52
189105,-0.40
189106,-0.46
189107,-0.32
189108,-0.40
189109,-0.21
189110,-0.68
189111,-0.85
189112,0.12
189201,-0.57
189202,-0.28
189203,-0.60
189204,-0.71
189205,-0.44
189206,-0.26
189207,-0.32
189208,-0.33
189209,-0.24
189210,-0.21
189211,-1.06
189212,-0.74
189301,-1.91
189302,-1.62
189303,-0.22
189304,-0.52
189305,-0.53
189306,-0.28
189307,-0.13
189308,-0.35
189309,-0.17
189310,-0.29
189311,-0.09
189312,-0.31
189401,-0.76
189402,-0.10
189403,-0.08
189404,-0.63
189405,-0.30
189406,-0.47
189407,-0.37
189408,-0.36
189409,-0.39
189410,-0.46
189411,-0.61
189412,-0.35
189501,-1.15
189502,-0.95
189503,-0.39
189504,-0.06
189505,-0.37
189506,-0.37
189507,-0.27
189508,-0.37
189509,-0.20
189510,-0.21
189511,-0.30
189512,-0.18
189601,-0.23
189602,-0.25
189603,-0.70
189604,-0.78
189605,-0.24
189606,-0.16
189607,-0.12
189608,-0.15
189609,-0.25
189610,-0.04
189611,-0.91
189612,-0.26
189701,-0.66
189702,-0.58
189703,-0.87
189704,0.00
189705,0.09
189706,-0.12
189707,0.08
189708,-0.08
189709,0.07
189710,-0.20
189711,-0.37
189712,-0.48
189801,0.27
189802,-0.64
189803,-1.58
189804,-0.55
189805,-0.47
189806,-0.13
189807,-0.26
189808,-0.17
189809,-0.25
189810,-0.71
189811,-0.47
189812,0.21
189901,-0.06
189902,-0.71
189903,-0.66
189904,-0.05
189905,-0.20
189906,-0.46
189907,-0.24
189908,-0.20
189909,0.04
189910,-0.03
189911,0.63
189912,-0.65
190001,-1.04
190002,-0.34
190003,-0.01
190004,-0.27
190005,0.06
190006,0.03
190007,-0.17
190008,-0.01
190009,-0.08
190010,0.28
190011,-0.34
190012,0.19
190101,-0.40
190102,-0.22
190103,0.18
190104,0.07
190105,-0.09
190106,0.07
190107,0.08
190108,0.01
190109,-0.18
190110,-0.44
190111,-0.10
190112,-0.39
190201,0.18
190202,0.43
190203,-0.26
190204,-0.54
190205,-0.31
190206,-0.27
190207,-0.21
190208,-0.27
190209,-0.27
190210,-0.54
190211,-0.74
190212,-0.82
190301,-0.18
190302,0.30
190303,-0.25
190304,-0.47
190305,-0.52
190306,-0.46
190307,-0.38
190308,-0.35
190309,-0.39
190310,-0.65
190311,-0.54
190312,-0.64
190401,-0.88
190402,-0.66
190403,-0.74
190404,-0.57
190405,-0.29
190406,-0.35
190407,-0.48
190408,-0.34
190409,-0.52
190410,-0.53
190411,0.39
190412,-0.08
190501,-0.29
190502,-1.32
190503,-0.70
190504,-0.70
190505,-0.26
190506,-0.23
190507,-0.21
190508,-0.16
190509,-0.14
190510,-0.26
190511,0.27
190512,0.07
190601,-0.25
190602,-0.62
190603,-0.29
190604,0.20
190605,0.04
190606,0.04
190607,-0.15
190608,-0.16
190609,-0.23
190610,-0.23
190611,-0.51
190612,0.14
190701,-0.66
190702,-0.89
190703,-0.53
190704,-0.77
190705,-0.87
190706,-0.63
190707,-0.44
190708,-0.37
190709,-0.37
190710,-0.24
190711,-0.81
190712,-0.62
190801,-0.32
190802,-0.42
190803,-1.04
190804,-0.59
190805,-0.25
190806,-0.26
190807,-0.19
190808,-0.41
190809,-0.14
190810,-0.53
190811,-0.64
190812,-0.36
190901,-0.95
190902,-0.49
190903,-0.64
190904,-0.93
190905,-0.64
190906,-0.42
190907,-0.38
190908,-0.11
190909,-0.17
190910,-0.18
190911,0.25
190912,-0.27
191001,-0.16
191002,-0.36
191003,-0.56
191004,-0.23
191005,-0.23
191006,-0.22
191007,-0.02
191008,-0.17
191009,-0.32
191010,-0.46
191011,-0.61
191012,-0.82
191101,-0.79
191102,-0.74
191103,-0.86
191104,-0.58
191105,-0.48
191106,-0.43
191107,-0.39
191108,-0.39
191109,-0.39
191110,-0.29
191111,-0.19
191112,-0.26
191201,-0.42
191202,-0.06
191203,-0.82
191204,-0.32
191205,-0.15
191206,-0.12
191207,-0.53
191208,-0.66
191209,-0.76
191210,-0.94
191211,-0.52
191212,-0.54
191301,-0.50
191302,-0.80
191303,-0.77
191304,-0.38
191305,-0.56
191306,-0.42
191307,-0.18
191308,-0.12
191309,-0.28
191310,-0.34
191311,0.12
191312,0.43
191401,0.81
191402,0.05
191403,-0.18
191404,-0.30
191405,0.07
191406,-0.01
191407,-0.22
191408,-0.27
191409,-0.19
191410,-0.08
191411,-0.24
191412,-0.23
191501,-0.29
191502,0.08
191503,-0.21
191504,0.20
191505,0.03
191506,-0.19
191507,0.01
191508,-0.12
191509,-0.27
191510,-0.47
191511,0.16
191512,0.00
191601,-0.17
191602,-0.27
191603,-0.60
191604,-0.35
191605,-0.38
191606,-0.56
191607,-0.35
191608,-0.42
191609,-0.40
191610,-0.39
191611,-0.56
191612,-1.17
191701,-0.53
191702,-0.90
191703,-1.01
191704,-0.64
191705,-0.95
191706,-0.57
191707,-0.25
191708,-0.37
191709,-0.28
191710,-0.70
191711,-0.16
191712,-1.28
191801,-0.65
191802,-0.66
191803,-0.46
191804,-0.77
191805,-0.80
191806,-0.49
191807,-0.42
191808,-0.42
191809,-0.21
191810,-0.02
191811,-0.34
191812,-0.88
191901,-0.61
191902,-0.22
191903,-0.53
191904,0.08
191905,-0.43
191906,-0.27
191907,-0.12
191908,-0.19
191909,-0.20
191910,-0.26
191911,-0.68
191912,-0.56
192001,-0.06
192002,-0.64
192003,-0.06
192004,-0.26
192005,-0.16
192006,-0.39
192007,-0.19
192008,-0.30
192009,-0.31
192010,-0.42
192011,-0.47
192012,-1.06
192101,0.20
192102,-0.16
192103,-0.26
192104,-0.16
192105,-0.14
192106,-0.02
192107,-0.06
192108,-0.42
192109,-0.24
192110,-0.19
192111,-0.35
192112,-0.04
192201,-0.65
192202,-0.70
192203,-0.11
192204,-0.03
192205,-0.25
192206,-0.11
192207,-0.17
192208,-0.31
192209,-0.34
192210,-0.33
192211,-0.03
192212,-0.16
192301,-0.13
192302,-0.73
192303,-0.41
192304,-0.79
192305,-0.45
192306,-0.21
192307,-0.41
192308,-0.38
192309,-0.27
192310,-0.04
192311,0.20
192312,0.08
192401,-0.51
192402,-0.32
192403,-0.08
192404,-0.50
192405,-0.24
192406,-0.19
192407,-0.14
192408,-0.28
192409,-0.18
192410,-0.26
192411,0.05
192412,-0.43
192501,-0.49
192502,-0.52
192503,-0.14
192504,0.02
192505,-0.25
192506,-0.36
192507,-0.34
192508,-0.15
192509,-0.10
192510,-0.31
192511,0.24
192512,0.53
192601,0.54
192602,0.40
192603,0.39
192604,-0.35
192605,-0.33
192606,-0.16
192607,-0.30
192608,-0.08
192609,-0.08
192610,0.06
192611,0.06
192612,-0.44
192701,-0.50
192702,-0.29
192703,-0.58
192704,-0.43
192705,-0.30
192706,-0.18
192707,-0.07
192708,-0.24
192709,0.15
192710,0.35
192711,0.08
192712,-0.64
192801,0.07
192802,-0.14
192803,-0.47
192804,-0.33
192805,-0.18
192806,-0.35
192807,-0.15
192808,-0.20
192809,-0.09
192810,-0.03
192811,0.20
192812,0.02
192901,-0.94
192902,-1.19
192903,-0.24
192904,-0.38
192905,-0.35
192906,-0.51
192907,-0.47
192908,-0.24
192909,-0.25
192910,0.03
192911,0.08
192912,-1.29
193001,-0.60
193002,-0.23
193003,0.20
193004,-0.31
193005,-0.26
193006,-0.11
193007,0.02
193008,0.00
193009,-0.28
193010,-0.14
193011,0.36
193012,0.01
193101,-0.07
193102,-0.63
193103,-0.01
193104,-0.27
193105,-0.34
193106,0.05
193107,0.17
193108,0.18
193109,0.20
193110,0.41
193111,-0.02
193112,0.12
193201,0.83
193202,-0.37
193203,-0.45
193204,0.29
193205,-0.20
193206,-0.15
193207,-0.02
193208,-0.15
193209,0.16
193210,0.20
193211,-0.25
193212,-0.30
193301,-0.58
193302,-0.72
193303,-0.46
193304,-0.34
193305,-0.26
193306,-0.30
193307,-0.16
193308,-0.16
193309,-0.30
193310,-0.13
193311,-0.13
193312,-0.71
193401,-0.39
193402,0.43
193403,-0.47
193404,-0.45
193405,0.22
193406,-0.03
193407,-0.05
193408,-0.06
193409,-0.36
193410,0.02
193411,0.26
193412,0.11
193501,-0.57
193502,0.91
193503,0.03
193504,-0.64
193505,-0.35
193506,-0.20
193507,-0.06
193508,-0.10
193509,-0.08
193510,0.09
193511,-0.76
193512,-0.35
193601,-0.58
193602,-0.80
193603,-0.26
193604,-0.34
193605,-0.02
193606,-0.09
193607,0.22
193608,-0.02
193609,-0.07
193610,0.10
193611,0.15
193612,0.22
193701,-0.50
193702,0.22
193703,-0.50
193704,-0.33
193705,0.08
193706,0.19
193707,-0.03
193708,0.12
193709,0.28
193710,0.30
193711,0.19
193712,-0.26
193801,0.17
193802,0.13
193803,0.31
193804,0.53
193805,0.17
193806,-0.11
193807,0.05
193808,0.08
193809,0.28
193810,0.34
193811,0.39
193812,-0.27
193901,0.18
193902,0.04
193903,-0.35
193904,-0.18
193905,0.16
193906,0.10
193907,0.05
193908,0.11
193909,-0.08
193910,-0.18
193911,0.08
193912,1.24
194001,-0.47
194002,0.09
194003,0.05
194004,0.26
194005,-0.02
194006,0.09
194007,0.15
194008,0.01
194009,0.22
194010,0.07
194011,-0.01
194012,0.43
194101,0.03
194102,0.28
194103,-0.01
194104,0.20
194105,0.16
194106,0.20
194107,0.24
194108,0.18
194109,-0.17
194110,0.32
194111,-0.14
194112,-0.07
194201,0.34
194202,-0.30
194203,0.01
194204,0.01
194205,-0.01
194206,0.15
194207,-0.09
194208,-0.06
194209,0.09
194210,0.17
194211,0.27
194212,0.14
194301,-0.38
194302,0.29
194303,-0.13
194304,0.24
194305,0.19
194306,-0.29
194307,0.00
194308,-0.12
194309,0.00
194310,0.41
194311,0.11
194312,0.57
194401,0.80
194402,0.35
194403,0.34
194404,0.01
194405,0.08
