Year,Global_Ocean
188001,0.01
188002,0.00
188003,0.08
188004,0.07
188005,-0.05
188006,-0.11
188007,-0.08
188008,-0.01
188009,0.01
188010,-0.09
188011,-0.04
188012,0.02
188101,0.05
188102,0.04
188103,0.11
188104,0.11
188105,0.06
188106,0.02
188107,0.02
188108,-0.04
188109,-0.07
188110,-0.12
188111,-0.05
188112,0.02
188201,0.10
188202,0.08
188203,0.04
188204,0.01
188205,-0.02
188206,-0.02
188207,-0.01
188208,-0.08
188209,-0.03
188210,-0.04
188211,-0.01
188212,0.01
188301,0.00
188302,-0.03
188303,-0.04
188304,-0.04
188305,-0.05
188306,0.00
188307,-0.03
188308,-0.04
188309,-0.07
188310,-0.08
188311,-0.06
188312,-0.06
188401,-0.13
188402,0.00
188403,-0.10
188404,-0.13
188405,-0.12
188406,-0.19
188407,-0.20
188408,-0.19
188409,-0.14
188410,-0.15
188411,-0.19
188412,-0.16
188501,-0.17
188502,-0.17
188503,-0.19
188504,-0.19
188505,-0.22
188506,-0.23
188507,-0.18
188508,-0.20
188509,-0.19
188510,-0.11
188511,-0.10
188512,-0.06
188601,-0.08
188602,-0.14
188603,-0.16
188604,-0.13
188605,-0.11
188606,-0.18
188607,-0.19
188608,-0.24
188609,-0.23
188610,-0.18
188611,-0.14
188612,-0.25
188701,-0.35
188702,-0.33
188703,-0.21
188704,-0.21
188705,-0.27
188706,-0.18
188707,-0.21
188708,-0.25
188709,-0.22
188710,-0.21
188711,-0.16
188712,-0.17
188801,-0.18
188802,-0.14
188803,-0.15
188804,-0.12
188805,-0.07
188806,-0.03
188807,-0.08
188808,-0.08
188809,-0.03
188810,0.10
188811,0.09
188812,0.16
188901,0.17
188902,0.06
188903,0.13
188904,0.03
188905,0.05
188906,-0.03
188907,-0.09
188908,-0.12
188909,-0.18
188910,-0.12
188911,-0.09
188912,-0.10
189001,-0.22
189002,-0.22
189003,-0.24
189004,-0.28
189005,-0.28
189006,-0.28
189007,-0.32
189008,-0.39
189009,-0.40
189010,-0.36
189011,-0.29
189012,-0.20
189101,-0.22
189102,-0.24
189103,-0.19
189104,-0.13
189105,-0.08
189106,-0.09
189107,-0.12
189108,-0.13
189109,-0.12
189110,-0.13
189111,-0.21
189112,-0.12
189201,-0.09
189202,-0.06
189203,-0.13
189204,-0.18
189205,-0.19
189206,-0.31
189207,-0.41
189208,-0.33
189209,-0.20
189210,-0.29
189211,-0.23
189212,-0.32
189301,-0.25
189302,-0.24
189303,-0.23
189304,-0.28
189305,-0.23
189306,-0.26
189307,-0.23
189308,-0.28
189309,-0.24
189310,-0.22
189311,-0.21
189312,-0.21
189401,-0.27
189402,-0.28
189403,-0.34
189404,-0.29
189405,-0.35
189406,-0.33
189407,-0.25
189408,-0.26
189409,-0.21
189410,-0.21
189411,-0.22
189412,-0.19
189501,-0.13
189502,-0.16
189503,-0.28
189504,-0.23
189505,-0.23
189506,-0.24
189507,-0.18
189508,-0.18
189509,-0.15
189510,-0.07
189511,-0.12
189512,-0.10
189601,-0.12
189602,-0.06
189603,-0.04
189604,-0.03
189605,-0.08
189606,-0.06
189607,0.00
189608,0.01
189609,0.05
189610,0.04
189611,0.12
189612,0.19
189701,0.09
189702,0.09
189703,0.17
189704,0.07
189705,-0.02
189706,-0.06
189707,-0.04
189708,-0.08
189709,-0.08
189710,-0.16
189711,-0.19
189712,-0.14
189801,-0.09
189802,-0.15
189803,-0.29
189804,-0.31
189805,-0.21
189806,-0.21
189807,-0.21
189808,-0.26
189809,-0.21
189810,-0.26
189811,-0.24
189812,-0.21
189901,-0.15
189902,-0.18
189903,-0.19
189904,-0.23
189905,-0.16
189906,-0.19
189907,-0.14
189908,-0.05
189909,-0.06
189910,-0.10
189911,-0.06
189912,-0.04
190001,-0.06
190002,0.03
190003,-0.04
190004,-0.03
190005,-0.10
190006,-0.06
190007,-0.06
190008,-0.08
190009,-0.05
190010,0.02
190011,-0.06
190012,-0.04
190101,-0.04
190102,-0.04
190103,-0.11
190104,-0.10
190105,-0.12
190106,-0.12
190107,-0.20
190108,-0.24
190109,-0.27
190110,-0.27
190111,-0.23
190112,-0.23
190201,-0.21
190202,-0.23
190203,-0.21
190204,-0.17
190205,-0.28
190206,-0.31
190207,-0.29
190208,-0.29
190209,-0.29
190210,-0.23
190211,-0.20
190212,-0.21
190301,-0.26
190302,-0.23
190303,-0.25
190304,-0.32
190305,-0.37
190306,-0.36
190307,-0.39
190308,-0.47
190309,-0.47
190310,-0.46
190311,-0.45
190312,-0.41
190401,-0.50
190402,-0.54
190403,-0.50
190404,-0.46
190405,-0.51
190406,-0.47
190407,-0.49
190408,-0.47
190409,-0.47
190410,-0.38
190411,-0.35
190412,-0.38
190501,-0.37
190502,-0.34
190503,-0.26
190504,-0.27
190505,-0.26
190506,-0.25
190507,-0.23
190508,-0.20
190509,-0.24
190510,-0.24
190511,-0.19
190512,-0.14
190601,-0.09
190602,-0.09
190603,-0.13
190604,-0.17
190605,-0.32
190606,-0.22
190607,-0.24
190608,-0.26
190609,-0.30
190610,-0.30
190611,-0.27
190612,-0.26
190701,-0.26
190702,-0.32
190703,-0.22
190704,-0.20
190705,-0.30
190706,-0.27
190707,-0.28
190708,-0.29
190709,-0.35
190710,-0.31
190711,-0.35
190712,-0.35
190801,-0.40
190802,-0.34
190803,-0.41
190804,-0.39
190805,-0.44
190806,-0.42
190807,-0.44
190808,-0.47
190809,-0.47
190810,-0.48
190811,-0.44
190812,-0.44
190901,-0.44
190902,-0.44
190903,-0.45
190904,-0.47
190905,-0.43
190906,-0.48
190907,-0.50
190908,-0.41
190909,-0.40
190910,-0.42
190911,-0.48
190912,-0.48
191001,-0.43
191002,-0.42
191003,-0.48
191004,-0.44
191005,-0.34
191006,-0.38
191007,-0.43
191008,-0.42
191009,-0.38
191010,-0.42
191011,-0.44
191012,-0.49
191101,-0.45
191102,-0.50
191103,-0.49
191104,-0.53
191105,-0.54
191106,-0.49
191107,-0.49
191108,-0.46
191109,-0.40
191110,-0.32
191111,-0.27
191112,-0.18
191201,-0.22
191202,-0.17
191203,-0.12
191204,-0.16
191205,-0.22
191206,-0.26
191207,-0.29
191208,-0.38
191209,-0.44
191210,-0.38
191211,-0.39
191212,-0.35
191301,-0.30
191302,-0.28
191303,-0.35
191304,-0.38
191305,-0.34
191306,-0.37
191307,-0.36
191308,-0.36
191309,-0.36
191310,-0.29
191311,-0.27
191312,-0.22
191401,-0.16
191402,-0.18
191403,-0.19
191404,-0.24
191405,-0.23
191406,-0.26
191407,-0.22
191408,-0.18
191409,-0.22
191410,-0.12
191411,-0.04
191412,-0.03
191501,-0.10
191502,-0.03
191503,-0.03
191504,-0.03
