Year,Oceania_Temperature
191001,-0.02
191002,0.07
191003,-1.14
191004,-0.04
191005,0.34
191006,-0.05
191007,0.08
191008,0.36
191009,0.61
191010,-1.12
191011,-0.71
191012,-0.96
191101,-0.43
191102,-0.87
191103,-0.46
191104,-0.61
191105,-0.53
191106,-1.27
191107,-0.23
191108,-0.17
191109,-0.39
191110,-0.19
191111,0.51
191112,-0.19
191201,0.55
191202,0.80
191203,0.32
191204,-0.48
191205,-0.12
191206,-0.57
191207,-0.25
191208,0.11
191209,0.00
191210,0.08
191211,-0.50
191212,0.23
191301,-0.42
191302,-0.40
191303,-1.11
191304,-0.03
191305,-1.99
191306,-1.54
191307,-0.20
191308,-0.39
191309,-0.91
191310,0.01
191311,0.03
191312,0.40
191401,-0.14
191402,0.73
191403,0.66
191404,0.66
191405,0.14
191406,-0.14
191407,-0.67
191408,0.68
191409,0.04
191410,0.63
191411,0.96
191412,0.59
191501,-0.51
191502,0.99
191503,0.43
191504,0.36
191505,-0.65
191506,0.84
191507,0.97
191508,-0.25
191509,0.57
191510,-0.14
191511,0.50
191512,0.03
191601,0.16
191602,0.25
191603,0.14
191604,-0.98
191605,0.50
191606,0.52
191607,-0.44
191608,0.21
191609,0.35
191610,-0.73
191611,-1.70
191612,-1.00
191701,-0.95
191702,-2.19
191703,-1.03
191704,-1.05
191705,-1.75
191706,-1.08
191707,0.62
191708,-0.56
191709,-0.16
191710,-0.47
191711,-1.02
191712,-0.36
191801,-0.76
191802,-1.18
191803,-1.35
191804,-0.51
191805,-0.21
191806,0.19
191807,-1.04
191808,-0.18
191809,-0.18
191810,-0.06
191811,0.32
191812,0.30
191901,0.15
191902,-0.14
191903,-0.16
191904,0.65
191905,-0.05
191906,0.43
191907,-0.30
191908,-0.25
191909,-0.42
191910,-0.25
191911,0.39
191912,0.69
192001,-0.63
192002,-0.13
192003,-0.82
192004,-0.87
192005,-0.65
192006,0.12
192007,-0.11
192008,-0.23
192009,-0.18
192010,-0.04
192011,-0.09
192012,-0.73
192101,-0.28
192102,-0.09
192103,-0.84
192104,-0.43
192105,1.17
192106,0.88
192107,0.54
192108,-0.80
192109,-0.08
192110,-0.74
192111,0.39
192112,-0.10
192201,-0.25
192202,0.21
192203,-0.21
192204,0.87
192205,-0.41
192206,-0.36
192207,-1.41
192208,-0.93
192209,-0.26
192210,0.10
192211,0.44
192212,-0.53
192301,-0.17
192302,1.06
192303,0.58
192304,0.56
192305,0.56
192306,-0.48
192307,-0.77
192308,-1.20
192309,-1.06
192310,-0.71
192311,-0.51
192312,-0.01
192401,-0.71
192402,-0.66
192403,-0.59
192404,-1.49
192405,0.08
192406,-0.44
192407,0.46
192408,-0.14
192409,0.25
192410,-0.46
192411,-0.53
192412,-0.87
192501,-1.30
192502,-0.55
192503,-0.46
192504,-0.32
192505,-0.39
192506,-0.40
192507,-1.16
192508,-1.11
192509,-1.69
192510,-0.58
192511,0.23
192512,0.63
192601,-0.37
192602,1.13
192603,-0.05
192604,0.30
192605,-1.27
192606,-0.64
192607,0.33
192608,-0.06
192609,0.02
192610,0.29
192611,0.30
192612,-0.67
192701,-0.10
192702,-0.67
192703,-0.05
192704,-0.92
192705,-0.96
192706,0.11
192707,-0.57
192708,-0.30
192709,-0.03
192710,0.17
192711,0.40
192712,-0.35
192801,-0.33
192802,-0.12
192803,0.28
192804,0.99
192805,-0.65
192806,-0.80
192807,-0.14
192808,0.98
192809,1.01
192810,0.31
192811,0.60
192812,0.45
192901,0.00
192902,0.66
192903,-0.74
192904,-1.13
192905,-0.83
192906,-0.85
192907,-1.51
192908,-0.19
192909,-1.01
192910,-0.35
192911,0.15
192912,-0.82
193001,-0.30
193002,0.25
193003,-0.09
193004,-0.26
193005,-0.22
193006,-0.15
193007,0.50
193008,-0.20
193009,-0.23
193010,-0.12
193011,0.05
193012,-0.55
193101,-0.52
193102,0.13
193103,-0.21
193104,-0.58
193105,-0.19
193106,0.07
193107,-0.16
193108,-0.23
193109,-0.11
193110,-1.11
193111,-1.27
193112,-0.11
193201,1.19
193202,-0.28
193203,0.01
193204,-0.65
193205,0.06
193206,-0.66
193207,-0.64
193208,-0.44
193209,-0.65
193210,-0.59
193211,-0.04
193212,-0.21
193301,0.01
193302,0.09
193303,0.47
193304,-0.21
193305,-0.15
193306,0.01
193307,-0.43
193308,-0.97
193309,-0.44
193310,-0.12
193311,-0.83
193312,-0.84
193401,0.12
193402,-0.01
193403,0.18
193404,-0.55
193405,0.29
193406,-0.27
193407,-0.13
193408,-0.41
193409,0.06
193410,-0.57
193411,-0.70
193412,-0.16
193501,-0.14
193502,0.05
193503,-0.17
193504,-0.84
193505,-0.77
193506,-0.94
193507,-0.41
193508,0.04
193509,-0.31
193510,-0.03
193511,0.43
193512,0.14
193601,0.34
193602,0.31
193603,-0.24
193604,-0.72
193605,-0.26
193606,-0.96
193607,0.28
193608,1.05
193609,-0.22
193610,0.29
193611,0.18
193612,0.01
193701,-0.88
193702,0.02
193703,-0.13
193704,-0.89
193705,0.14
193706,-0.68
193707,-0.73
193708,-0.13
193709,-0.18
193710,0.53
193711,0.74
193712,0.33
193801,-0.19
193802,-0.55
193803,0.74
193804,0.59
193805,1.05
193806,0.11
193807,-0.20
193808,-0.34
193809,0.17
193810,0.73
193811,0.91
193812,1.02
193901,0.69
193902,-0.24
193903,-0.36
193904,0.00
193905,0.63
193906,-0.23
193907,-0.88
193908,-0.98
193909,-0.84
193910,-0.83
193911,-0.84
193912,-0.31
194001,-0.11
194002,-0.75
194003,0.46
194004,-0.66
194005,-1.09
194006,0.08
194007,-0.23
194008,0.10
194009,0.04
194010,0.85
194011,-0.47
194012,0.55
194101,-1.34
194102,-0.24
194103,-0.89
194104,0.44
194105,-0.03
194106,-0.18
194107,0.18
194108,-0.52
194109,-0.05
194110,-0.56
194111,0.21
194112,0.29
194201,0.13
194202,-0.70
194203,0.22
194204,0.12
194205,0.98
194206,0.71
194207,0.19
194208,0.75
194209,0.48
194210,-0.22
194211,-0.28
194212,-0.30
194301,-0.16
194302,-0.56
194303,0.61
194304,-0.24
194305,-0.85
194306,-1.16
194307,-0.41
194308,-0.86
194309,-0.23
194310,0.03
194311,-0.72
194312,-0.06
194401,0.46
194402,-0.76
194403,-0.34
194404,-0.94
194405,-1.31
194406,-0.40
194407,-0.25
194408,0.01
194409,0.80
194410,-0.02
194411,0.81
194412,-0.30
194501,-0.31
194502,-0.42
194503,-0.45
194504,-0.01
194505,-0.15
194506,0.88
194507,-0.47
194508,0.99
194509,-0.15
194510,-0.80
194511,-0.45
194512,0.18
194601,0.06
194602,-0.84
194603,-1.12
194604,-1.32
194605,0.48
194606,-1.23
194607,0.20
194608,-0.07
194609,-0.33
194610,-0.84
194611,-0.07
194612,-0.01
194701,0.82
194702,0.10
194703,-0.21
194704,-0.82
194705,0.26
194706,0.46
194707,0.37
194708,-0.01
194709,-0.66
